,,,,,All Type of Report (All Grades) for 01-Jan-2023 to 25-Feb-2026,,,,
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,22-03-2025,16.30,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,23-03-2025,27.80,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,25-03-2025,40.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,26-03-2025,16.50,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,27-03-2025,14.80,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,28-03-2025,13.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,29-03-2025,22.60,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,30-03-2025,20.70,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,01-04-2025,42.20,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,02-04-2025,16.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,04-04-2025,11.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,05-04-2025,23.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,06-04-2025,23.50,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,08-04-2025,41.60,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,09-04-2025,27.50,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,11-04-2025,18.50,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,12-04-2025,21.00,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,13-04-2025,36.10,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,15-04-2025,40.80,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,16-04-2025,26.90,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,17-04-2025,27.80,Metric Tonnes,950.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,18-04-2025,17.50,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,19-04-2025,13.00,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,20-04-2025,30.00,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,22-04-2025,36.30,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,23-04-2025,16.20,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,24-04-2025,24.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,25-04-2025,20.10,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,26-04-2025,13.50,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,27-04-2025,31.50,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,29-04-2025,34.80,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,30-04-2025,26.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,02-05-2025,21.20,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,03-05-2025,15.70,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,04-05-2025,43.50,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,06-05-2025,40.00,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,07-05-2025,29.00,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,09-05-2025,19.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,10-05-2025,17.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,11-05-2025,44.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,13-05-2025,44.00,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,15-05-2025,28.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,16-05-2025,9.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,17-05-2025,22.50,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,18-05-2025,40.50,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,20-05-2025,41.50,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,21-05-2025,29.50,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,22-05-2025,21.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,23-05-2025,15.50,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,24-05-2025,22.50,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,25-05-2025,41.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,27-05-2025,42.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,28-05-2025,21.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,29-05-2025,27.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,30-05-2025,15.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,31-05-2025,20.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,01-06-2025,41.00,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,03-06-2025,39.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,04-06-2025,24.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,05-06-2025,31.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,06-06-2025,19.60,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,07-06-2025,20.50,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,08-06-2025,46.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,10-06-2025,39.80,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,11-06-2025,31.20,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,12-06-2025,44.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,13-06-2025,16.00,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,14-06-2025,25.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,15-06-2025,44.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,17-06-2025,6.60,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,18-06-2025,33.50,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,19-06-2025,4.50,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,20-06-2025,14.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,21-06-2025,23.50,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,22-06-2025,52.50,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,24-06-2025,65.20,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,25-06-2025,29.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,26-06-2025,36.80,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,27-06-2025,14.10,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,28-06-2025,24.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,29-06-2025,55.90,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,01-07-2025,52.00,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,03-07-2025,30.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,04-07-2025,18.40,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,05-07-2025,18.50,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,06-07-2025,53.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,08-07-2025,60.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,09-07-2025,25.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,10-07-2025,52.20,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,11-07-2025,11.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,12-07-2025,19.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,13-07-2025,62.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,15-07-2025,57.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,16-07-2025,15.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,17-07-2025,34.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,18-07-2025,10.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,19-07-2025,28.50,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,20-07-2025,59.50,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,22-07-2025,57.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,23-07-2025,17.30,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,24-07-2025,40.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,25-07-2025,1.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,27-07-2025,43.20,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,29-07-2025,64.50,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,30-07-2025,20.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,31-07-2025,37.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,01-08-2025,17.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,02-08-2025,38.40,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,03-08-2025,50.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,05-08-2025,0.10,Metric Tonnes,3002.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,06-08-2025,14.50,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,07-08-2025,37.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,08-08-2025,19.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,10-08-2025,57.50,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,12-08-2025,66.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,13-08-2025,22.50,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,14-08-2025,49.50,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,15-08-2025,18.50,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,16-08-2025,44.00,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,17-08-2025,48.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,19-08-2025,72.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,20-08-2025,15.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,21-08-2025,44.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,22-08-2025,10.00,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,23-08-2025,43.00,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,24-08-2025,42.50,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,26-08-2025,53.50,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,27-08-2025,21.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,28-08-2025,38.00,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,29-08-2025,3.80,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,30-08-2025,46.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,31-08-2025,38.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,02-09-2025,36.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,03-09-2025,18.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,04-09-2025,36.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,05-09-2025,55.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,06-09-2025,43.50,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,07-09-2025,57.40,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,09-09-2025,34.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,10-09-2025,17.50,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,11-09-2025,33.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,12-09-2025,15.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,13-09-2025,57.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,14-09-2025,57.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,16-09-2025,38.50,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,17-09-2025,19.50,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,18-09-2025,36.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,19-09-2025,12.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,21-09-2025,32.50,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,23-09-2025,39.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,24-09-2025,15.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,25-09-2025,39.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,26-09-2025,16.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,27-09-2025,43.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,30-09-2025,38.50,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,01-10-2025,25.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,02-10-2025,35.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,03-10-2025,17.50,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,04-10-2025,39.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,07-10-2025,45.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,08-10-2025,30.50,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,09-10-2025,32.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,10-10-2025,18.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,14-10-2025,40.30,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,15-10-2025,29.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,16-10-2025,37.50,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,17-10-2025,25.50,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,18-10-2025,36.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,24-10-2025,20.00,Metric Tonnes,1450.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,26-10-2025,39.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,28-10-2025,50.50,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,29-10-2025,27.50,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,30-10-2025,38.50,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,31-10-2025,25.50,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,01-11-2025,40.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,04-11-2025,37.50,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,05-11-2025,22.50,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,07-11-2025,14.90,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,08-11-2025,48.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,11-11-2025,52.90,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,12-11-2025,37.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,13-11-2025,51.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,14-11-2025,33.40,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,15-11-2025,36.50,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,18-11-2025,61.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,19-11-2025,36.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,20-11-2025,42.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,21-11-2025,27.40,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,22-11-2025,30.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,25-11-2025,37.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,27-11-2025,42.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,29-11-2025,33.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,02-12-2025,54.60,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,03-12-2025,9.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,04-12-2025,29.60,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,05-12-2025,22.30,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,06-12-2025,35.30,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,09-12-2025,47.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,10-12-2025,15.80,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,11-12-2025,38.40,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,12-12-2025,29.50,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,13-12-2025,34.20,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,16-12-2025,54.60,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,17-12-2025,14.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,18-12-2025,35.70,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,23-12-2025,59.40,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,25-12-2025,33.90,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,26-12-2025,14.30,Metric Tonnes,1250.00,Rs./Quintal
